setupScript,targetLocalPositionX,0,Position of the target center relative to the plate starting position,x: lateral (+right),,successCriteria
setupScript,targetLocalPositionY,0.3,,y: vertical (+up),,successCriteria
setupScript,targetLocalPositionZ,0,,z: depth (+forward). A value of (0; 0; 0) would place the target at the center of the plate at its appearance (plate's starting position is defined under 'Plate'),,successCriteria
setupScript,targetSizeX,0.1,Max distance between the center of target and the center of plate for the trial to be successful,(x: lateral,,successCriteria
setupScript,targetSizeY,0.1,,y: vertical,,successCriteria
setupScript,targetSizeZ,0.1,,z: depth),,successCriteria
targetScript,maxTiltForSuccessX,180,Max tilt of the plate (while in target region) for the trial to be successful.,(x: pitch / forward-backward tilt,,successCriteria
targetScript,maxTiltForSuccessY,180,,y: yaw / flat rotation,,successCriteria
targetScript,maxTiltForSuccessZ,30,,z: roll / left-right tilt),,successCriteria
targetScript,timeInTargetForSuccess,0.1,Amount of time the plate must remain within the target region and within allowed tilt limits for the trial to be considered successful.,,,successCriteria
targetScript,targetMeshColorSuccessAlpha,0.5,Alpha = opacity, (0 to 1; 0 =  invisible to 1 = fully opaque / visible),,targetColor
targetScript,targetMeshColorSuccessB,0.4,,,,targetColor
targetScript,targetMeshColorSuccessG,0.75,,,,targetColor
targetScript,targetMeshColorSuccessR,0,Target mesh color while success criteria are being met ,(color changes online after initial target contact),,targetColor
targetScript,targetMeshColorUnsuccessAlpha,0.5,Alpha = opacity, (0 to 1; 0 =  invisible to 1 = fully opaque / visible),,targetColor
targetScript,targetMeshColorUnsuccessB,0,,,,targetColor
targetScript,targetMeshColorUnsuccessG,0,,,,targetColor
targetScript,targetMeshColorUnsuccessR,1,Target mesh color while success criteria are not being met ,(color changes online after initial target contact),,targetColor
setupScript,targetMeshPositionOffsetX,0,Position offset of the Target's Visible Mesh (the shape you see) relative to its Functional Center (which determines success),x: lateral (+right),,targetMesh
setupScript,targetMeshPositionOffsetY,0,,y: vertical (+up),,targetMesh
setupScript,targetMeshPositionOffsetZ,0,,z: depth (+forward). A value of (0; 0; 0) aligns the visual representation with the actual target center; other values apply a visual offset.,,targetMesh
setupScript,targetMeshShape,Cube,Shape of the visual representation of the target (what shape will people see at the target?)  ,plate'  or 'plate+grape' will show a shaded representation of the plate or plate+grape game objects (use in conjuction to these size options below to match size of game objects) ,,targetMesh
